user_id,book_id,borrow_date,return_date,reservation_status,overdue_status,user_role,book_category
d166c2c3-a24a-482f-bd50-c1c2b115aea4,ed728782-79ea-4cec-ad23-236e745caff6,13-03-2023,29-03-2023,TRUE,1,student,non-fiction
902f3b25-7d14-4943-8aff-27b3eac9a7aa,02903451-e16b-49e3-8afc-69cba817208d,02-04-2022,07-04-2022,TRUE,0,student,art
6cee8789-3fbe-4b35-bcf5-a891484adefe,ba2eacff-aa53-4950-bd8d-5fe7d8a4db49,06-06-2023,08-06-2023,TRUE,0,faculty,history
588e367e-1a23-41dc-a8a0-127a482c2e6a,6a350522-8b9a-4581-aaa8-48e8ec90d997,05-10-2022,24-10-2022,FALSE,1,student,non-fiction
3d15c259-fced-4210-9d6c-28292e9ded79,1bcb4fa7-7e2c-41f9-8d6a-73e7c06db0ce,04-07-2020,09-07-2020,FALSE,0,student,fiction
08152cfd-e6f1-4e73-a724-cfcc834aa6f4,3b88f23b-acea-47a0-b152-fef8c15cd092,28-10-2023,15-11-2023,FALSE,1,student,art
1978fe94-f10d-4f02-a646-67feeb3e6e04,d236345c-2c29-4563-b468-864cb04db7d0,11-04-2023,30-04-2023,FALSE,1,staff,science
d96237eb-0852-4437-a533-b2391adb419d,a0c97d67-f478-4656-8241-cf4be94598a1,21-07-2023,09-08-2023,FALSE,1,staff,fiction
c39287df-44f5-48d9-9948-e3454008ccd0,66e82aea-b2f9-465c-808f-75e3ca7e5ddd,01-09-2022,16-09-2022,TRUE,1,student,non-fiction
0aa0b427-f3bc-4ed6-924d-25589bfdc5f1,f068d1ee-c021-4785-bd39-a2761563dbc1,10-07-2023,16-07-2023,FALSE,0,student,science
3e523453-9524-4a77-98bb-da6d34bbdb13,a3068c90-2f44-4477-88ab-4ddc4befe011,11-08-2023,27-08-2023,FALSE,1,student,history
d742210a-818c-4513-ad92-c05b6db736b3,eb047ba3-4c16-4100-9bb2-5032e5e5c6ae,17-05-2021,01-06-2021,TRUE,1,student,non-fiction
5668b24a-4ab4-4b2e-97e6-0ce0fe1a14f2,da71bfb7-9c62-4803-85ff-6738ecb767e9,17-04-2023,28-04-2023,FALSE,0,student,art
ce876aaa-232f-41db-8e03-c14be50eb409,104d4387-cf8c-4f14-93d8-a3d62cb94837,25-01-2023,14-02-2023,FALSE,0,faculty,fiction
f25a6049-0ad2-42bd-b145-571f4c601234,2d7cddbc-fd80-4998-b4f1-1a8b882f7d05,16-07-2024,29-07-2024,TRUE,0,student,history
861c2642-bef8-4779-b6c6-408ec2ae1194,ce3a704f-73b8-4ff4-aaa3-c0a6e03da09d,25-09-2025,10-10-2025,FALSE,1,student,history
cc58c71d-7843-4ebb-bd5a-a96cddc1d5ac,d1a0e1e5-a66b-4b04-b8e6-ec6168a7c6b0,08-01-2025,,TRUE,1,faculty,science
833f3f4b-5ed6-4383-b08c-ba1c0a92a7c0,5dc139e2-fd17-4129-bde2-09f897ca4cf3,15-03-2026,31-03-2026,FALSE,1,student,science
3addde48-e027-409e-b01f-b7128a1f8a55,f068d1ee-c021-4785-bd39-a2761563dbc1,21-12-2020,09-01-2021,TRUE,0,faculty,science
3d1bc814-9746-4c8a-802a-16f50ec819dd,1b344369-4fb4-4b0b-86ca-54348758a7e7,24-06-2024,,FALSE,1,staff,fiction
3433f491-3b89-4991-90eb-e2eb2d44ab8e,950a5cab-8a11-40fb-993d-68ee19130b5e,20-07-2021,01-08-2021,FALSE,1,staff,history
1aeccdb4-654f-463f-9d29-c1846923a568,08c5186b-fb9d-46f5-9498-96203e7297fc,28-07-2021,13-08-2021,FALSE,0,faculty,science
